Afghanistan,Kabul,59225,52794,2598
Albania,Tirana,130736,107163,2383
Algeria,Alger,121344,84598,3225
Andorra,Andorra la Vella,13121,12561,124
Angola,Luanda,25942,23341,587
Antigua and Barbuda,Saint John's,1232,1014,32
Argentina,Buenos Aires,2905172,2563223,62599
Armenia,Yerevan,214064,195701,4058
Australia,Canberra,123,120,3
Austria,Wien,612170,577977,10126
Azerbaijan,Baku,315119,282786,4429
Bahamas,Nassau,10220,9326,198
Bahrain,al-Manama,173548,162537,626
Bangladesh,Dhaka,751659,666927,11228
Barbados,Bridgetown,3828,3746,44
Belarus,Minsk,354669,344950,2512
Belgium,Bruxelles [Brussel],37419,0,0
Belize,Belmopan,12631,12193,322
Benin,Porto-Novo,7720,7510,97
Bhutan,Thimphu,1053,951,1
Bolivia,La Paz,298778,246673,12861
Bosnia and Herzegovina,Sarajevo,196732,157095,8418
Botswana,Gaborone,46600,44740,702
Brazil,Brasília,104771,76652,1524
Brunei,Bandar Seri Begawan,223,212,3
Bulgaria,Sofia,401109,332418,16182
Burkina Faso,Ouagadougou,13263,12937,156
Burma,Ouagadougou,142740,131945,3207
Burundi,Bujumbura,3884,773,6
Cabo Verde,Bujumbura,22772,19715,211
Cambodia,Phnom Penh,11063,3704,82
Cameroon,Yaound,65998,35261,991
Canada,Ottawa,81,79,2
Central African Republic,Bangui,6359,5112,87
Chad,N'Djam,4779,4406,170
Chile,Santiago de Chile,25589,24265,450
China,Peking,341,280,2
Colombia,Santaf,17440,16595,655
Comoros,Moroni,3829,3650,146
Congo (Brazzaville),Moroni,10678,8208,144
Congo (Kinshasa),Moroni,29701,26156,760
Costa Rica,San Jos,243167,201784,3186
Cote d'Ivoire,Yamoussoukro,45885,45451,285
Croatia,Zagreb,324833,304546,6957
Cuba,La Habana,103524,97462,604
Cyprus,Nicosia,63720,39061,303
Czechia,Praha,1622777,1541963,29075
Denmark,Copenhagen,31,31,0
Diamond Princess,Copenhagen,712,699,13
Djibouti,Djibouti,10931,10510,142
Dominica,Roseau,173,171,0
Dominican Republic,Santo Domingo de Guzm,265481,222466,3462
Ecuador,Quito,375329,318598,18389
Egypt,Cairo,224517,168665,13168
El Salvador,San Salvador,68922,64667,2111
Equatorial Guinea,Malabo,7559,7097,107
Eritrea,Asmara,3640,3455,10
Estonia,Tallinn,120836,108968,1148
Eswatini,Tallinn,18448,17741,671
Ethiopia,Addis Abeba,254044,195547,3605
Fiji,Suva,109,65,2
Finland,Helsinki [Helsingfors],86161,46000,908
France,Paris,443,44,5
Gabon,Libreville,22568,19173,138
Gambia,Banjul,5882,5309,174
Georgia,Tbilisi,305850,287938,4060
Germany,Berlin,89020,78800,3083
Ghana,Accra,92464,90103,779
Greece,Athenai,337723,93764,10179
Grenada,Saint George's,159,155,1
Guatemala,Ciudad de Guatemala,223025,199005,7453
Guinea,Conakry,22046,19466,141
Guinea-Bissau,Bissau,3731,3267,67
Guyana,Georgetown,12826,10944,291
Haiti,Port-au-Prince,12999,12143,253
Holy See,Citt,27,15,0
Honduras,Tegucigalpa,207320,77814,5193
Hungary,Budapest,772707,491620,26984
Iceland,Reykjav,6447,6240,29
India,New Delhi,207288,155669,2115
Indonesia,Jakarta,1651794,1506599,44939
Iran,Tehran,2438193,1907190,70532
Iraq,Baghdad,1045010,920523,15348
Ireland,Dublin,247489,23364,4884
Israel,Jerusalem,838217,830205,6359
Italy,Roma,10786,9549,454
Jamaica,Kingston,45212,20729,767
Japan,Tokyo,8,8,0
Jordan,Amman,706355,675212,8707
Kazakhstan,Astana,366709,319816,3326
Kenya,Nairobi,157492,106836,2665
"Korea, South",Seoul,120673,110248,1821
Kosovo,Seoul,103638,91211,2134
Kuwait,Kuwait,269681,252888,1535
Kyrgyzstan,Bishkek,94277,88415,1589
Laos,Vientiane,511,49,0
Latvia,Riga,116132,105828,2110
Lebanon,Beirut,522763,453865,7197
Lesotho,Maseru,10728,6267,316
Liberia,Monrovia,2098,1942,85
Libya,Tripoli,176254,161676,3010
Liechtenstein,Vaduz,2903,2766,57
Lithuania,Vilnius,242926,219678,3877
Luxembourg,Luxembourg [Luxemburg/L,66594,62989,791
MS Zaandam,Luxembourg [Luxemburg/L,9,7,2
Madagascar,Antananarivo,36190,29370,614
Malawi,Lilongwe,34031,31953,1147
Malaysia,Kuala Lumpur,398451,371575,1462
Maldives,Male,28588,24499,71
Mali,Bamako,13722,8313,476
Malta,Valletta,30234,29421,413
Marshall Islands,Dalap-Uliga-Darrit,4,4,0
Mauritania,Nouakchott,18314,17620,455
Mauritius,Port-Louis,1206,1055,17
Mexico,Ciudad de M,67662,0,4128
Micronesia,Ciudad de M,1,1,0
Moldova,Chisinau,249714,238423,5762
Monaco,Monaco-Ville,2442,2338,32
Mongolia,Ulan Bator,32437,17543,88
Montenegro,Ulan Bator,96930,92975,1478
Morocco,Rabat,509972,496031,9005
Mozambique,Maputo,69762,64448,814
Namibia,Windhoek,48011,45740,634
Nepal,Kathmandu,307925,278506,3194
Netherlands,Amsterdam,1497806,23945,17328
New Zealand,Wellington,2609,2547,26
Nicaragua,Managua,6898,4225,182
Niger,Niamey,5220,4843,191
Nigeria,Abuja,164912,155012,2063
North Macedonia,Skopje,151122,130910,4742
Norway,Oslo,111686,17998,736
Oman,Masqat,191398,170929,1992
Pakistan,Islamabad,810231,704494,17530
Panama,Ciudad de Panam,363533,353503,6216
Papua New Guinea,Port Moresby,10835,8561,105
Paraguay,Asunci,271814,223606,6094
Peru,Lima,52848,0,1107
Philippines,Manila,1013618,925027,16916
Poland,Warszawa,2768034,2467036,65897
Portugal,Lisboa,834991,794205,16970
Qatar,Doha,203599,184712,441
Romania,Bucuresti,1049539,979445,27683
Russia,Moscow,31770,29252,1088
Rwanda,Kigali,24814,23089,331
Saint Kitts and Nevis,Basseterre,44,44,0
Saint Lucia,Castries,4508,4344,74
Saint Vincent and the Grenadines,Kingstown,1844,1711,11
Samoa,Apia,3,2,0
San Marino,San Marino,5058,4880,90
Sao Tome and Principe,S,2299,2239,35
Saudi Arabia,Riyadh,414219,397587,6922
Senegal,Dakar,40193,38953,1106
Serbia,Dakar,683799,0,6286
Seychelles,Victoria,5354,4675,26
Sierra Leone,Freetown,4046,3045,79
Singapore,Singapore,61063,60704,30
Slovakia,Bratislava,380498,255300,11572
Slovenia,Ljubljana,238023,223686,4221
Solomon Islands,Honiara,20,19,0
Somalia,Mogadishu,13915,5847,713
South Africa,Pretoria,1577200,1502986,54237
South Sudan,Juba,10553,10312,114
Spain,Madrid,59074,1533,819
Sri Lanka,Madrid,103487,94856,647
Sudan,Khartum,33891,26795,2349
Suriname,Paramaribo,10157,9193,201
Sweden,Stockholm,27832,0,322
Switzerland,Bern,653957,317600,10591
Syria,Damascus,22389,16283,1559
Taiwan*,Damascus,1110,1050,12
Tajikistan,Dushanbe,13308,13218,90
Tanzania,Dodoma,509,183,21
Thailand,Bangkok,59688,26873,163
Timor-Leste,Bangkok,2048,972,3
Togo,Lom,12884,10927,122
Trinidad and Tobago,Port-of-Spain,9947,8281,161
Tunisia,Tunis,303584,253058,10444
Turkey,Ankara,4710582,4167263,39057
Uganda,Kampala,41737,40898,341
Ukraine,Kyiv,94375,75409,1854
United Arab Emirates,Abu Dhabi,514591,495589,1578
United Kingdom,London,20,19,1
Uruguay,Montevideo,190096,160632,2452
Uzbekistan,Toskent,89630,86180,646
Vanuatu,Port-Vila,4,3,1
Venezuela,Caracas,193721,176058,2082
Vietnam,Hanoi,2857,2516,35
West Bank and Gaza,Hanoi,293466,267346,3201
Yemen,Sanaa,6220,2674,1207
Zambia,Lusaka,91418,89717,1249
Zimbabwe,Harare,38164,35480,1565
US,Washington,94203,0,1294
Global,Washington,148353905,85984055,3131636
